--------- beginning of main
--------- beginning of system
01-13 00:37:27.645  4022  4212 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 00:37:30.137  4022  4212 D SnpeWhyDistractionNativ: Frame number: 29, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:30.253  4022  4212 D SnpeWhyDistractionNativ: Frame number: 30, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.1130679, 0.0, 0.0], modelConfidence = [0.5172825, 0.0, 0.0]
01-13 00:37:30.327  4022  4212 D SnpeWhyDistractionNativ: Frame number: 31, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:30.417  4022  4212 D SnpeWhyDistractionNativ: Frame number: 32, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:30.552  4022  4212 D SnpeWhyDistractionNativ: Frame number: 33, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0825108, 0.0, 0.0], modelConfidence = [0.5080005, 0.0, 0.0]
01-13 00:37:30.633  4022  4212 D SnpeWhyDistractionNativ: Frame number: 34, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:30.721  4022  4212 D SnpeWhyDistractionNativ: Frame number: 35, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:30.854  4022  4212 D SnpeWhyDistractionNativ: Frame number: 36, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.8998179, 0.0, 0.0], modelConfidence = [0.5799475, 0.0, 0.0]
01-13 00:37:30.938  4022  4212 D SnpeWhyDistractionNativ: Frame number: 37, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:31.026  4022  4212 D SnpeWhyDistractionNativ: Frame number: 38, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:31.158  4022  4212 D SnpeWhyDistractionNativ: Frame number: 39, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0501045, 0.0, 0.0], modelConfidence = [0.47226426, 0.0, 0.0]
01-13 00:37:31.232  4022  4212 D SnpeWhyDistractionNativ: Frame number: 40, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:31.319  4022  4212 D SnpeWhyDistractionNativ: Frame number: 41, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:31.439  4022  4212 D SnpeWhyDistractionNativ: Frame number: 42, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0131849, 0.0, 0.0], modelConfidence = [0.48329923, 0.0, 0.0]
01-13 00:37:31.539  4022  4212 D SnpeWhyDistractionNativ: Frame number: 43, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:31.625  4022  4212 D SnpeWhyDistractionNativ: Frame number: 44, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:31.761  4022  4212 D SnpeWhyDistractionNativ: Frame number: 45, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0600159, 0.0, 0.0], modelConfidence = [0.42588937, 0.0, 0.0]
01-13 00:37:31.843  4022  4212 D SnpeWhyDistractionNativ: Frame number: 46, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:31.927  4022  4212 D SnpeWhyDistractionNativ: Frame number: 47, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
