--------- beginning of main
01-13 00:38:59.690  4423  4511 D SnpeWhyDistractionNativ: Frame number: 30, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0453779, 0.0, 0.0], modelConfidence = [0.48464856, 0.0, 0.0]
01-13 00:38:59.770  4423  4511 D SnpeWhyDistractionNativ: Frame number: 31, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:59.852  4423  4511 D SnpeWhyDistractionNativ: Frame number: 32, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:38:59.996  4423  4511 D SnpeWhyDistractionNativ: Frame number: 33, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0495398, 0.0, 0.0], modelConfidence = [0.46659327, 0.0, 0.0]
01-13 00:39:00.073  4423  4511 D SnpeWhyDistractionNativ: Frame number: 34, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:00.153  4423  4511 D SnpeWhyDistractionNativ: Frame number: 35, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:00.271  4423  4511 D SnpeWhyDistractionNativ: Frame number: 36, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.7636722, 0.0, 0.0], modelConfidence = [0.62913, 0.0, 0.0]
01-13 00:39:00.392  4423  4511 D SnpeWhyDistractionNativ: Frame number: 37, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:00.461  4423  4511 D SnpeWhyDistractionNativ: Frame number: 38, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:00.600  4423  4511 D SnpeWhyDistractionNativ: Frame number: 39, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.8267937, 0.0, 0.0], modelConfidence = [0.5781332, 0.0, 0.0]
01-13 00:39:00.674  4423  4511 D SnpeWhyDistractionNativ: Frame number: 40, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:00.767  4423  4511 D SnpeWhyDistractionNativ: Frame number: 41, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:00.914  4423  4511 D SnpeWhyDistractionNativ: Frame number: 42, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9003784, 0.0, 0.0], modelConfidence = [0.57732904, 0.0, 0.0]
01-13 00:39:00.988  4423  4511 D SnpeWhyDistractionNativ: Frame number: 43, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:01.050  4423  4511 D SnpeWhyDistractionNativ: Frame number: 44, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:01.191  4423  4511 D SnpeWhyDistractionNativ: Frame number: 45, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.93278503, 0.0, 0.0], modelConfidence = [0.56003225, 0.0, 0.0]
