--------- beginning of main
01-13 00:39:53.991  4423  4511 D SnpeWhyDistractionNativ: destroyNativeObject: Destroyed why-distraction native object
--------- beginning of system
01-13 00:40:25.712  4704  4817 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 00:40:28.206  4704  4817 D SnpeWhyDistractionNativ: Frame number: 29, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:28.333  4704  4817 D SnpeWhyDistractionNativ: Frame number: 30, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.6629466, 0.0, 0.0], modelConfidence = [0.64047223, 0.0, 0.0]
01-13 00:40:28.410  4704  4817 D SnpeWhyDistractionNativ: Frame number: 31, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:28.499  4704  4817 D SnpeWhyDistractionNativ: Frame number: 32, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:28.616  4704  4817 D SnpeWhyDistractionNativ: Frame number: 33, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.66415226, 0.0, 0.0], modelConfidence = [0.6367128, 0.0, 0.0]
01-13 00:40:28.695  4704  4817 D SnpeWhyDistractionNativ: Frame number: 34, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:28.781  4704  4817 D SnpeWhyDistractionNativ: Frame number: 35, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:28.912  4704  4817 D SnpeWhyDistractionNativ: Frame number: 36, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.66889346, 0.0, 0.0], modelConfidence = [0.6146592, 0.0, 0.0]
01-13 00:40:28.991  4704  4817 D SnpeWhyDistractionNativ: Frame number: 37, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:29.083  4704  4817 D SnpeWhyDistractionNativ: Frame number: 38, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:29.231  4704  4817 D SnpeWhyDistractionNativ: Frame number: 39, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.58218646, 0.0, 0.0], modelConfidence = [0.7421856, 0.0, 0.0]
01-13 00:40:29.303  4704  4817 D SnpeWhyDistractionNativ: Frame number: 40, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:29.385  4704  4817 D SnpeWhyDistractionNativ: Frame number: 41, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:29.518  4704  4817 D SnpeWhyDistractionNativ: Frame number: 42, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.6741583, 0.0, 0.0], modelConfidence = [0.6222753, 0.0, 0.0]
01-13 00:40:29.604  4704  4817 D SnpeWhyDistractionNativ: Frame number: 43, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:29.686  4704  4817 D SnpeWhyDistractionNativ: Frame number: 44, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:29.820  4704  4817 D SnpeWhyDistractionNativ: Frame number: 45, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.71210504, 0.0, 0.0], modelConfidence = [0.53903925, 0.0, 0.0]
01-13 00:40:29.897  4704  4817 D SnpeWhyDistractionNativ: Frame number: 46, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:29.994  4704  4817 D SnpeWhyDistractionNativ: Frame number: 47, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:30.115  4704  4817 D SnpeWhyDistractionNativ: Frame number: 48, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.6434464, 0.0, 0.0], modelConfidence = [0.667698, 0.0, 0.0]
01-13 00:40:30.200  4704  4817 D SnpeWhyDistractionNativ: Frame number: 49, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:30.281  4704  4817 D SnpeWhyDistractionNativ: Frame number: 50, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:30.425  4704  4817 D SnpeWhyDistractionNativ: Frame number: 51, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.733007, 0.0, 0.0], modelConfidence = [0.60449433, 0.0, 0.0]
01-13 00:40:30.503  4704  4817 D SnpeWhyDistractionNativ: Frame number: 52, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
