--------- beginning of main
--------- beginning of system
01-12 18:51:38.441 13809 13909 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-12 18:51:40.926 13809 13909 D SnpeWhyDistractionNativ: Frame number: 29, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.071 13809 13909 D SnpeWhyDistractionNativ: Frame number: 30, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.1130679, 0.0, 0.0], modelConfidence = [0.5172825, 0.0, 0.0]
01-12 18:51:41.147 13809 13909 D SnpeWhyDistractionNativ: Frame number: 31, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.227 13809 13909 D SnpeWhyDistractionNativ: Frame number: 32, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.349 13809 13909 D SnpeWhyDistractionNativ: Frame number: 33, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0825108, 0.0, 0.0], modelConfidence = [0.5080005, 0.0, 0.0]
01-12 18:51:41.426 13809 13909 D SnpeWhyDistractionNativ: Frame number: 34, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.512 13809 13909 D SnpeWhyDistractionNativ: Frame number: 35, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.637 13809 13909 D SnpeWhyDistractionNativ: Frame number: 36, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.8998179, 0.0, 0.0], modelConfidence = [0.5799475, 0.0, 0.0]
01-12 18:51:41.718 13809 13909 D SnpeWhyDistractionNativ: Frame number: 37, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.811 13809 13909 D SnpeWhyDistractionNativ: Frame number: 38, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:41.949 13809 13909 D SnpeWhyDistractionNativ: Frame number: 39, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0501045, 0.0, 0.0], modelConfidence = [0.47226426, 0.0, 0.0]
01-12 18:51:42.028 13809 13909 D SnpeWhyDistractionNativ: Frame number: 40, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.118 13809 13909 D SnpeWhyDistractionNativ: Frame number: 41, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.245 13809 13909 D SnpeWhyDistractionNativ: Frame number: 42, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0131849, 0.0, 0.0], modelConfidence = [0.48329923, 0.0, 0.0]
01-12 18:51:42.327 13809 13909 D SnpeWhyDistractionNativ: Frame number: 43, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.412 13809 13909 D SnpeWhyDistractionNativ: Frame number: 44, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.557 13809 13909 D SnpeWhyDistractionNativ: Frame number: 45, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0600159, 0.0, 0.0], modelConfidence = [0.42588937, 0.0, 0.0]
01-12 18:51:42.660 13809 13909 D SnpeWhyDistractionNativ: Frame number: 46, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.722 13809 13909 D SnpeWhyDistractionNativ: Frame number: 47, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:42.825 13809 13909 D SnpeWhyDistractionNativ: Frame number: 48, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.009758, 0.0, 0.0], modelConfidence = [0.43669635, 0.0, 0.0]
01-12 18:51:42.921 13809 13909 D SnpeWhyDistractionNativ: Frame number: 49, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.012 13809 13909 D SnpeWhyDistractionNativ: Frame number: 50, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.154 13809 13909 D SnpeWhyDistractionNativ: Frame number: 51, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.88380116, 0.0, 0.0], modelConfidence = [0.6298946, 0.0, 0.0]
01-12 18:51:43.227 13809 13909 D SnpeWhyDistractionNativ: Frame number: 52, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.322 13809 13909 D SnpeWhyDistractionNativ: Frame number: 53, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.451 13809 13909 D SnpeWhyDistractionNativ: Frame number: 54, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0015675, 0.0, 0.0], modelConfidence = [0.57921886, 0.0, 0.0]
01-12 18:51:43.537 13809 13909 D SnpeWhyDistractionNativ: Frame number: 55, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.617 13809 13909 D SnpeWhyDistractionNativ: Frame number: 56, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.751 13809 13909 D SnpeWhyDistractionNativ: Frame number: 57, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.5112541, 0.0, 0.0], modelConfidence = [0.84969825, 0.0, 0.0]
01-12 18:51:43.811 13809 13909 D SnpeWhyDistractionNativ: Frame number: 58, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:43.916 13809 13909 D SnpeWhyDistractionNativ: Frame number: 59, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:44.056 13809 13909 D SnpeWhyDistractionNativ: Frame number: 60, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.6279816, 0.0, 0.0], modelConfidence = [0.7480895, 0.0, 0.0]
01-12 18:51:44.129 13809 13909 D SnpeWhyDistractionNativ: Frame number: 61, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:44.211 13809 13909 D SnpeWhyDistractionNativ: Frame number: 62, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:44.358 13809 13909 D SnpeWhyDistractionNativ: Frame number: 63, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.84342694, 0.0, 0.0], modelConfidence = [0.5902684, 0.0, 0.0]
01-12 18:51:44.429 13809 13909 D SnpeWhyDistractionNativ: Frame number: 64, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:44.532 13809 13909 D SnpeWhyDistractionNativ: Frame number: 65, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:44.626 13809 13909 D SnpeWhyDistractionNativ: Frame number: 66, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.67662114, 0.0, 0.0], modelConfidence = [0.70754313, 0.0, 0.0]
01-12 18:51:44.726 13809 13909 D SnpeWhyDistractionNativ: Frame number: 67, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:44.819 13809 13909 D SnpeWhyDistractionNativ: Frame number: 68, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:44.947 13809 13909 D SnpeWhyDistractionNativ: Frame number: 69, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.99729, 0.0, 0.0], modelConfidence = [0.6227037, 0.0, 0.0]
01-12 18:51:45.021 13809 13909 D SnpeWhyDistractionNativ: Frame number: 70, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:45.121 13809 13909 D SnpeWhyDistractionNativ: Frame number: 71, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:45.251 13809 13909 D SnpeWhyDistractionNativ: Frame number: 72, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.80904037, 0.0, 0.0], modelConfidence = [0.6989976, 0.0, 0.0]
01-12 18:51:45.328 13809 13909 D SnpeWhyDistractionNativ: Frame number: 73, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:45.410 13809 13909 D SnpeWhyDistractionNativ: Frame number: 74, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:45.551 13809 13909 D SnpeWhyDistractionNativ: Frame number: 75, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.830342, 0.0, 0.0], modelConfidence = [0.65383244, 0.0, 0.0]
01-12 18:51:45.619 13809 13909 D SnpeWhyDistractionNativ: Frame number: 76, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:45.726 13809 13909 D SnpeWhyDistractionNativ: Frame number: 77, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:45.858 13809 13909 D SnpeWhyDistractionNativ: Frame number: 78, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.8453079, 0.0, 0.0], modelConfidence = [0.5633646, 0.0, 0.0]
01-12 18:51:45.942 13809 13909 D SnpeWhyDistractionNativ: Frame number: 79, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:46.017 13809 13909 D SnpeWhyDistractionNativ: Frame number: 80, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:46.155 13809 13909 D SnpeWhyDistractionNativ: Frame number: 81, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.8712361, 0.0, 0.0], modelConfidence = [0.5629096, 0.0, 0.0]
01-12 18:51:46.234 13809 13909 D SnpeWhyDistractionNativ: Frame number: 82, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:46.322 13809 13909 D SnpeWhyDistractionNativ: Frame number: 83, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:46.455 13809 13909 D SnpeWhyDistractionNativ: Frame number: 84, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9004932, 0.0, 0.0], modelConfidence = [0.547069, 0.0, 0.0]
01-12 18:51:46.538 13809 13909 D SnpeWhyDistractionNativ: Frame number: 85, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:46.625 13809 13909 D SnpeWhyDistractionNativ: Frame number: 86, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:46.761 13809 13909 D SnpeWhyDistractionNativ: Frame number: 87, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.7123286, 0.0, 0.0], modelConfidence = [0.6064022, 0.0, 0.0]
01-12 18:51:46.836 13809 13909 D SnpeWhyDistractionNativ: Frame number: 88, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:46.914 13809 13909 D SnpeWhyDistractionNativ: Frame number: 89, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:47.052 13809 13909 D SnpeWhyDistractionNativ: Frame number: 90, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.81413126, 0.0, 0.0], modelConfidence = [0.65879345, 0.0, 0.0]
01-12 18:51:47.134 13809 13909 D SnpeWhyDistractionNativ: Frame number: 91, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:47.220 13809 13909 D SnpeWhyDistractionNativ: Frame number: 92, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:47.353 13809 13909 D SnpeWhyDistractionNativ: Frame number: 93, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.9283608, 0.0, 0.0], modelConfidence = [0.47573194, 0.0, 0.0]
01-12 18:51:47.425 13809 13909 D SnpeWhyDistractionNativ: Frame number: 94, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:47.514 13809 13909 D SnpeWhyDistractionNativ: Frame number: 95, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:47.662 13809 13909 D SnpeWhyDistractionNativ: Frame number: 96, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0054121, 0.0, 0.0], modelConfidence = [0.52148753, 0.0, 0.0]
01-12 18:51:47.737 13809 13909 D SnpeWhyDistractionNativ: Frame number: 97, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:47.820 13809 13909 D SnpeWhyDistractionNativ: Frame number: 98, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:47.954 13809 13909 D SnpeWhyDistractionNativ: Frame number: 99, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0005993, 0.0, 0.0], modelConfidence = [0.5621129, 0.0, 0.0]
01-12 18:51:48.027 13809 13909 D SnpeWhyDistractionNativ: Frame number: 100, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:48.117 13809 13909 D SnpeWhyDistractionNativ: Frame number: 101, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:48.252 13809 13909 D SnpeWhyDistractionNativ: Frame number: 102, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0841924, 0.0, 0.0], modelConfidence = [0.3774874, 0.0, 0.0]
01-12 18:51:48.326 13809 13909 D SnpeWhyDistractionNativ: Frame number: 103, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:48.415 13809 13909 D SnpeWhyDistractionNativ: Frame number: 104, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:48.551 13809 13909 D SnpeWhyDistractionNativ: Frame number: 105, processFrame: modelClass = [0, 0, 0], modelEntropy = [1.0233909, 0.0, 0.0], modelConfidence = [0.5132057, 0.0, 0.0]
01-12 18:51:48.632 13809 13909 D SnpeWhyDistractionNativ: Frame number: 106, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:48.729 13809 13909 D SnpeWhyDistractionNativ: Frame number: 107, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:48.852 13809 13909 D SnpeWhyDistractionNativ: Frame number: 108, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.7408438, 0.0, 0.0], modelConfidence = [0.65374327, 0.0, 0.0]
01-12 18:51:48.951 13809 13909 D SnpeWhyDistractionNativ: Frame number: 109, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:49.026 13809 13909 D SnpeWhyDistractionNativ: Frame number: 110, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:49.157 13809 13909 D SnpeWhyDistractionNativ: Frame number: 111, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.87553185, 0.0, 0.0], modelConfidence = [0.5413118, 0.0, 0.0]
01-12 18:51:49.230 13809 13909 D SnpeWhyDistractionNativ: Frame number: 112, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:49.352 13809 13909 D SnpeWhyDistractionNativ: Frame number: 113, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:49.465 13809 13909 D SnpeWhyDistractionNativ: Frame number: 114, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.80123407, 0.0, 0.0], modelConfidence = [0.71761644, 0.0, 0.0]
01-12 18:51:49.536 13809 13909 D SnpeWhyDistractionNativ: Frame number: 115, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
